STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20080906,1191, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20080910,10, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20080926,61, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20080927,290, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20080928,28, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20080929,15, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20081001,119, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20081002,10, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20081009,0,T, ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20081028,66, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20081105,25, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20081106,5, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20081113,3, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20081114,208, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20081115,142, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20081116,48, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20081118,0,T, ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20081125,25, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20081130,48, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20081201,145, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20081205,10, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20081207,8, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20081210,15, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20081211,36, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20081212,394, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20081216,43, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20090106,25, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20090107,318, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20090108,147, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20090111,64, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20090126,0, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20090127,0,T, ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20090128,142, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20090202,0, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20090203,0,T, ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20090204,3, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20090212,20, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20090219,43, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20090220,3, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20090221,0, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20090222,0, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20090223,8, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20090228,18, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20090301,36, , ,N,9999
GHCND:US1VAALC003,ALEXANDRIA 1.8 S VA US,17.1,38.7952,-77.0849,20090302,117, , ,N,9999
