STATION_NAME,DATE,PRCP
ALEXANDRIA 1.8 S VA US,20080906,1191
ALEXANDRIA 1.8 S VA US,20080910,10
ALEXANDRIA 1.8 S VA US,20080926,61
ALEXANDRIA 1.8 S VA US,20080927,290
ALEXANDRIA 1.8 S VA US,20080928,28
ALEXANDRIA 1.8 S VA US,20080929,15
ALEXANDRIA 1.8 S VA US,20081001,119
ALEXANDRIA 1.8 S VA US,20081002,10
ALEXANDRIA 1.8 S VA US,20081009,0
ALEXANDRIA 1.8 S VA US,20081028,66
ALEXANDRIA 1.8 S VA US,20081105,25
ALEXANDRIA 1.8 S VA US,20081106,5
ALEXANDRIA 1.8 S VA US,20081113,3
ALEXANDRIA 1.8 S VA US,20081114,208
ALEXANDRIA 1.8 S VA US,20081115,142
ALEXANDRIA 1.8 S VA US,20081116,48
ALEXANDRIA 1.8 S VA US,20081118,0
ALEXANDRIA 1.8 S VA US,20081125,25
ALEXANDRIA 1.8 S VA US,20081130,48
ALEXANDRIA 1.8 S VA US,20081201,145
ALEXANDRIA 1.8 S VA US,20081205,10
ALEXANDRIA 1.8 S VA US,20081207,8
ALEXANDRIA 1.8 S VA US,20081210,15
ALEXANDRIA 1.8 S VA US,20081211,36
ALEXANDRIA 1.8 S VA US,20081212,394
ALEXANDRIA 1.8 S VA US,20081216,43
ALEXANDRIA 1.8 S VA US,20090106,25
ALEXANDRIA 1.8 S VA US,20090107,318
ALEXANDRIA 1.8 S VA US,20090108,147
ALEXANDRIA 1.8 S VA US,20090111,64
ALEXANDRIA 1.8 S VA US,20090126,0
ALEXANDRIA 1.8 S VA US,20090127,0
ALEXANDRIA 1.8 S VA US,20090128,142
ALEXANDRIA 1.8 S VA US,20090202,0
ALEXANDRIA 1.8 S VA US,20090203,0
ALEXANDRIA 1.8 S VA US,20090204,3
ALEXANDRIA 1.8 S VA US,20090212,20
ALEXANDRIA 1.8 S VA US,20090219,43
ALEXANDRIA 1.8 S VA US,20090220,3
ALEXANDRIA 1.8 S VA US,20090221,0
ALEXANDRIA 1.8 S VA US,20090222,0
ALEXANDRIA 1.8 S VA US,20090223,8
ALEXANDRIA 1.8 S VA US,20090228,18
ALEXANDRIA 1.8 S VA US,20090301,36
ALEXANDRIA 1.8 S VA US,20090302,117
ALEXANDRIA 1.8 S VA US,20090303,15
ALEXANDRIA 1.8 S VA US,20090304,0
ALEXANDRIA 1.8 S VA US,20090305,0
ALEXANDRIA 1.8 S VA US,20090313,0
ALEXANDRIA 1.8 S VA US,20090314,5
ALEXANDRIA 1.8 S VA US,20090315,36
ALEXANDRIA 1.8 S VA US,20090316,30
ALEXANDRIA 1.8 S VA US,20090317,28
ALEXANDRIA 1.8 S VA US,20090318,0
ALEXANDRIA 1.8 S VA US,20090319,0
ALEXANDRIA 1.8 S VA US,20090320,8
ALEXANDRIA 1.8 S VA US,20090322,0
ALEXANDRIA 1.8 S VA US,20090323,0
ALEXANDRIA 1.8 S VA US,20090326,15
ALEXANDRIA 1.8 S VA US,20090327,81
ALEXANDRIA 1.8 S VA US,20090328,160
ALEXANDRIA 1.8 S VA US,20090329,33
ALEXANDRIA 1.8 S VA US,20090330,0
ALEXANDRIA 1.8 S VA US,20090401,0
ALEXANDRIA 1.8 S VA US,20090402,41
ALEXANDRIA 1.8 S VA US,20090403,124
ALEXANDRIA 1.8 S VA US,20090404,122
ALEXANDRIA 1.8 S VA US,20090405,0
ALEXANDRIA 1.8 S VA US,20090406,0
ALEXANDRIA 1.8 S VA US,20090407,46
ALEXANDRIA 1.8 S VA US,20090411,51
