Row Labels,Average of LATITUDE,Average of LONGITUDE
ALEXANDRIA 1.8 S VA US,38.7952,-77.0849
ALEXANDRIA 2.4 NE VA US,38.8554,-77.0698
ARLINGTON 0.3 E VA US,38.8791,-77.0967
ARLINGTON 1.1 NW VA US,38.8879,-77.1176
DALECARLIA RESERVOIR DC US,38.93862691,-77.11297013
FALLS CHURCH 1.6 W VA US,38.8875,-77.2041
LAKE BARCROFT 0.5 NE VA US,38.8575,-77.1525
LAKE BARCROFT 0.8 SSW VA US,38.8407,-77.1659
MCLEAN 1.5 S VA US,38.91666859,-77.1819068
MCLEAN 2.3 SE VA US,38.918,-77.1434
MCLEAN 2.4 SSE VA US,38.9084,-77.1549
WASHINGTON 1.9 WNW DC US,38.9203,-77.0456
WASHINGTON 2.0 SSW DC US,38.8775,-77.024
WASHINGTON 4.0 WNW DC US,38.9303,-77.0831
WASHINGTON 5.0 WNW DC US,38.9377,-77.0991
WASHINGTON REAGAN NATIONAL AIRPORT VA US,38.84830785,-77.03411833
